Frame,CalcTime_s,MemUsage_KB,AvgTime_s,AvgMem_KB
1,0.000175, 84.4297,0.000175, 84.4297
2,0.000250,132.0781,0.000212,108.2539
3,0.000052,132.1719,0.000159,116.2266
4,0.000175,135.9688,0.000163,121.1621
5,0.000254,135.9062,0.000181,124.1109
6,0.000476,135.9062,0.000230,126.0768
7,0.000047,135.9062,0.000204,127.4810
8,0.000270,135.9062,0.000212,128.5342
9,0.000157,135.9062,0.000206,129.3533
10,0.000180,135.9062,0.000204,130.0086
11,0.000175,135.9062,0.000201,130.5447
12,0.000192,135.9062,0.000200,130.9915
13,0.000389,135.9062,0.000215,131.3696
14,0.000484,135.9062,0.000234,131.6936
15,0.000079,135.9062,0.000224,131.9745
16,0.000189,135.9297,0.000221,132.2217
17,0.000048,135.9297,0.000211,132.4398
18,0.000130,135.9297,0.000207,132.6337
19,0.000227,135.9297,0.000208,132.8072
20,0.000258,135.9297,0.000210,132.9633
21,0.000082,135.9922,0.000204,133.1075
22,0.000262,135.9297,0.000207,133.2358
23,0.000300,135.9297,0.000211,133.3529
24,0.000059,135.9297,0.000205,133.4603
25,0.000049,135.9297,0.000198,133.5591
26,0.000052,135.9297,0.000193,133.6502
27,0.000048,135.9297,0.000187,133.7347
28,0.000051,135.9297,0.000182,133.8131
29,0.000299,135.9297,0.000186,133.8860
30,0.000050,135.9297,0.000182,133.9542
31,0.000259,135.9297,0.000184,134.0179
32,0.000364,135.9297,0.000190,134.0776
33,0.000231,135.9297,0.000191,134.1338
34,0.000254,135.9297,0.000193,134.1866
35,0.000472,135.9297,0.000201,134.2364
36,0.000276,135.9297,0.000203,134.2834
37,0.000262,135.9297,0.000205,134.3279
38,0.000075,135.9297,0.000201,134.3701
39,0.000093,135.9297,0.000199,134.4101
40,0.000261,135.9297,0.000200,134.4480
41,0.000253,135.9297,0.000201,134.4842
42,0.000260,135.9297,0.000203,134.5186
43,0.000057,135.9297,0.000199,134.5514
44,0.000266,135.9297,0.000201,134.5827
45,0.000051,135.9297,0.000198,134.6127
46,0.000105,135.9297,0.000196,134.6413
47,0.000256,135.9297,0.000197,134.6687
48,0.000196,135.9297,0.000197,134.6950
49,0.000242,135.9297,0.000198,134.7202
50,0.000195,135.9297,0.000198,134.7444
51,0.000272,135.9922,0.000199,134.7688
52,0.000090,135.9297,0.000197,134.7912
53,0.000090,135.9297,0.000195,134.8126
54,0.000091,135.9297,0.000193,134.8333
55,0.000302,135.9297,0.000195,134.8533
56,0.000290,135.9297,0.000197,134.8725
57,0.000051,135.9297,0.000194,134.8910
58,0.000053,135.9297,0.000192,134.9089
59,0.000256,135.9297,0.000193,134.9262
60,0.000234,135.9297,0.000194,134.9430
61,0.000048,135.9297,0.000191,134.9591
62,0.000085,135.9297,0.000189,134.9748
63,0.000150,135.9297,0.000189,134.9900
64,0.000462,135.9297,0.000193,135.0046
65,0.000115,135.9297,0.000192,135.0189
66,0.000066,135.9297,0.000190,135.0327
67,0.000055,135.9297,0.000188,135.0461
68,0.000062,135.9297,0.000186,135.0591
69,0.000129,135.9297,0.000185,135.0717
70,0.000259,135.9297,0.000186,135.0839
71,0.000172,135.9297,0.000186,135.0958
72,0.000253,135.9297,0.000187,135.1074
73,0.000187,135.9297,0.000187,135.1187
74,0.000170,135.9297,0.000187,135.1296
75,0.000050,135.9297,0.000185,135.1403
76,0.000054,135.9297,0.000183,135.1507
77,0.000260,135.9297,0.000184,135.1608
78,0.000283,135.9297,0.000186,135.1707
79,0.000457,135.9297,0.000189,135.1803
80,0.000131,135.9297,0.000188,135.1896
81,0.000085,135.9297,0.000187,135.1988
82,0.000054,135.9297,0.000185,135.2077
83,0.000051,135.9297,0.000184,135.2164
84,0.000267,135.9297,0.000185,135.2249
85,0.000183,135.9297,0.000185,135.2332
86,0.000258,135.9297,0.000186,135.2413
87,0.000050,135.9297,0.000184,135.2492
88,0.000128,135.9297,0.000183,135.2569
89,0.000136,135.9297,0.000183,135.2645
90,0.000136,135.9297,0.000182,135.2719
91,0.000192,135.9297,0.000182,135.2791
92,0.000196,135.9297,0.000183,135.2862
93,0.000190,135.9297,0.000183,135.2931
94,0.000114,135.9297,0.000182,135.2999
95,0.000050,135.9297,0.000181,135.3065
96,0.000051,135.9297,0.000179,135.3130
97,0.000055,135.9297,0.000178,135.3193
98,0.000257,135.9297,0.000179,135.3256
99,0.000049,135.9297,0.000177,135.3317
100,0.000049,135.9297,0.000176,135.3377
101,0.000108,135.9922,0.000175,135.3441
102,0.000318,135.9297,0.000177,135.3499
103,0.000256,135.9297,0.000178,135.3555
104,0.000102,135.9297,0.000177,135.3610
105,0.000050,135.9297,0.000176,135.3664
106,0.000228,135.9297,0.000176,135.3718
107,0.000151,135.9297,0.000176,135.3770
108,0.000172,135.9297,0.000176,135.3821
109,0.000049,135.9297,0.000175,135.3871
110,0.000216,135.9297,0.000175,135.3920
111,0.000353,135.9297,0.000177,135.3969
112,0.000234,135.9297,0.000177,135.4016
113,0.000259,135.9297,0.000178,135.4063
114,0.000046,135.9297,0.000177,135.4109
115,0.000209,135.9297,0.000177,135.4154
116,0.000057,135.9297,0.000176,135.4199
117,0.000268,135.9297,0.000177,135.4242
118,0.000197,135.9297,0.000177,135.4285
119,0.000189,135.9297,0.000177,135.4327
120,0.000209,135.9297,0.000177,135.4368
121,0.000051,135.9297,0.000176,135.4409
122,0.000303,135.9297,0.000177,135.4449
123,0.000291,135.9297,0.000178,135.4489
124,0.000456,135.9297,0.000181,135.4527
125,0.000274,135.9297,0.000181,135.4566
126,0.000259,135.9297,0.000182,135.4603
127,0.000050,135.9297,0.000181,135.4640
128,0.000457,135.9297,0.000183,135.4677
129,0.000423,135.9297,0.000185,135.4712
130,0.000174,135.9297,0.000185,135.4748
131,0.000175,135.9297,0.000185,135.4782
132,0.000266,135.9297,0.000185,135.4817
133,0.000278,135.9297,0.000186,135.4850
134,0.000251,135.9297,0.000187,135.4883
135,0.000115,135.9297,0.000186,135.4916
136,0.000257,135.9297,0.000187,135.4948
137,0.000179,135.9297,0.000186,135.4980
138,0.000092,135.9297,0.000186,135.5011
139,0.000143,135.9297,0.000185,135.5042
140,0.000053,135.9297,0.000185,135.5073
141,0.000070,135.9297,0.000184,135.5103
142,0.000398,135.9297,0.000185,135.5132
143,0.000138,135.9297,0.000185,135.5161
144,0.000413,135.9297,0.000186,135.5190
145,0.000046,135.9297,0.000186,135.5218
146,0.000345,135.9297,0.000187,135.5246
147,0.000231,135.9297,0.000187,135.5274
148,0.000053,135.9297,0.000186,135.5301
149,0.000214,135.9297,0.000186,135.5328
150,0.000184,135.9297,0.000186,135.5354
151,0.000229,135.9297,0.000186,135.5380
152,0.000195,135.9297,0.000187,135.5406
153,0.000058,135.9297,0.000186,135.5431
154,0.000298,135.9297,0.000186,135.5457
155,0.000193,135.9297,0.000186,135.5481
156,0.000049,135.9297,0.000186,135.5506
157,0.000223,135.9297,0.000186,135.5530
158,0.000163,135.9297,0.000186,135.5554
159,0.000202,135.9297,0.000186,135.5577
160,0.000049,135.9297,0.000185,135.5601
161,0.000049,135.9297,0.000184,135.5624
162,0.000050,135.9297,0.000183,135.5646
163,0.000268,135.9297,0.000184,135.5669
164,0.000053,135.9297,0.000183,135.5691
165,0.000237,135.9297,0.000183,135.5713
166,0.000252,135.9297,0.000184,135.5734
167,0.000268,135.9297,0.000184,135.5756
168,0.000371,135.9297,0.000185,135.5777
169,0.000054,135.9297,0.000185,135.5797
170,0.000255,135.9297,0.000185,135.5818
171,0.000262,135.9297,0.000185,135.5838
172,0.000047,135.9297,0.000185,135.5858
173,0.000284,135.9297,0.000185,135.5878
174,0.000065,135.9297,0.000184,135.5898
175,0.000047,135.9297,0.000184,135.5917
176,0.000274,135.9297,0.000184,135.5937
177,0.000163,135.9297,0.000184,135.5956
178,0.000049,135.9297,0.000183,135.5974
179,0.000048,135.9297,0.000183,135.5993
180,0.000050,135.9297,0.000182,135.6011
181,0.000050,135.9297,0.000181,135.6029
182,0.000051,135.9297,0.000180,135.6047
183,0.000227,135.9297,0.000181,135.6065
184,0.000229,135.9297,0.000181,135.6083
185,0.000170,135.9297,0.000181,135.6100
186,0.000103,135.9297,0.000180,135.6117
187,0.000197,135.9297,0.000181,135.6134
188,0.000061,135.9297,0.000180,135.6151
189,0.000050,135.9297,0.000179,135.6168
190,0.000233,135.9297,0.000179,135.6184
191,0.000050,135.9297,0.000179,135.6201
192,0.000307,135.9297,0.000179,135.6217
193,0.000260,135.9297,0.000180,135.6233
194,0.000090,135.9297,0.000179,135.6248
195,0.000407,135.9297,0.000181,135.6264
196,0.000277,135.9297,0.000181,135.6279
197,0.000197,135.9297,0.000181,135.6295
198,0.000175,135.9297,0.000181,135.6310
199,0.000049,135.9297,0.000180,135.6325
200,0.000060,135.9297,0.000180,135.6340
201,0.000149,135.9297,0.000180,135.6355
202,0.000050,135.9297,0.000179,135.6369
203,0.000103,135.9297,0.000179,135.6384
204,0.000205,135.9297,0.000179,135.6398
205,0.000143,135.9297,0.000179,135.6412
206,0.000050,135.9297,0.000178,135.6426
207,0.000063,135.9297,0.000177,135.6440
208,0.000123,135.9297,0.000177,135.6454
209,0.000121,135.9297,0.000177,135.6467
210,0.000070,135.9297,0.000176,135.6481
211,0.000073,135.9297,0.000176,135.6494
212,0.000252,135.9297,0.000176,135.6507
213,0.000259,135.9297,0.000177,135.6520
214,0.000273,135.9297,0.000177,135.6533
215,0.000313,135.9297,0.000178,135.6546
216,0.000240,135.9297,0.000178,135.6559
217,0.000258,135.9297,0.000178,135.6572
218,0.000230,135.9297,0.000179,135.6584
219,0.000203,135.9297,0.000179,135.6596
220,0.000212,135.9297,0.000179,135.6609
221,0.000267,135.9297,0.000179,135.6621
222,0.000144,135.9297,0.000179,135.6633
223,0.000051,135.9297,0.000179,135.6645
224,0.000168,135.9297,0.000179,135.6657
225,0.000318,135.9297,0.000179,135.6668
226,0.000049,135.9297,0.000179,135.6680
227,0.000050,135.9297,0.000178,135.6692
228,0.000072,135.9297,0.000178,135.6703
229,0.000070,135.9297,0.000177,135.6714
230,0.000472,135.9297,0.000178,135.6726
231,0.000279,135.9297,0.000179,135.6737
232,0.000225,135.9297,0.000179,135.6748
233,0.000254,135.9297,0.000179,135.6759
234,0.000050,135.9297,0.000179,135.6769
235,0.000178,135.9297,0.000179,135.6780
236,0.000193,135.9297,0.000179,135.6791
237,0.000102,135.9297,0.000178,135.6801
238,0.000066,135.9297,0.000178,135.6812
239,0.000096,135.9297,0.000178,135.6822
240,0.000082,135.9297,0.000177,135.6833
241,0.000344,135.9297,0.000178,135.6843
242,0.000055,135.9297,0.000177,135.6853
243,0.000232,135.9297,0.000178,135.6863
244,0.000128,135.9297,0.000177,135.6873
245,0.000050,135.9297,0.000177,135.6883
246,0.000237,135.9297,0.000177,135.6893
247,0.000252,135.9297,0.000178,135.6903
248,0.000239,135.9297,0.000178,135.6912
249,0.000096,135.9297,0.000177,135.6922
250,0.000057,135.9297,0.000177,135.6931
251,0.000174,135.9766,0.000177,135.6943
252,0.000258,135.9297,0.000177,135.6952
253,0.000049,135.9297,0.000177,135.6961
254,0.000264,135.9297,0.000177,135.6970
255,0.000308,135.9297,0.000178,135.6979
256,0.000049,135.9297,0.000177,135.6989
257,0.000188,135.9297,0.000177,135.6998
258,0.000049,135.9297,0.000177,135.7006
259,0.000056,135.9297,0.000176,135.7015
260,0.000230,135.9297,0.000176,135.7024
261,0.000267,135.9297,0.000177,135.7033
262,0.000081,135.9297,0.000176,135.7041
263,0.000089,135.9297,0.000176,135.7050
264,0.000280,135.9297,0.000176,135.7058
265,0.000054,135.9297,0.000176,135.7067
266,0.000268,135.9297,0.000176,135.7075
267,0.000426,135.9297,0.000177,135.7084
268,0.000048,135.9297,0.000177,135.7092
269,0.000050,135.9297,0.000176,135.7100
270,0.000252,135.9297,0.000177,135.7108
271,0.000258,135.9297,0.000177,135.7116
272,0.000253,135.9297,0.000177,135.7124
273,0.000049,135.9297,0.000177,135.7132
274,0.000045,135.9297,0.000176,135.7140
275,0.000265,135.9297,0.000177,135.7148
276,0.000251,135.9297,0.000177,135.7156
277,0.000291,135.9297,0.000177,135.7164
278,0.000049,135.9297,0.000177,135.7171
279,0.000264,135.9297,0.000177,135.7179
280,0.000075,135.9297,0.000177,135.7186
281,0.000053,135.9297,0.000176,135.7194
282,0.000051,135.9297,0.000176,135.7201
283,0.000049,135.9297,0.000175,135.7209
284,0.000049,135.9297,0.000175,135.7216
285,0.000093,135.9297,0.000175,135.7223
286,0.000234,135.9297,0.000175,135.7231
287,0.000423,135.9297,0.000176,135.7238
288,0.000050,135.9297,0.000175,135.7245
289,0.000049,135.9297,0.000175,135.7252
290,0.000425,135.9297,0.000176,135.7259
291,0.000052,135.9297,0.000175,135.7266
292,0.000051,135.9297,0.000175,135.7273
293,0.000093,135.9297,0.000175,135.7280
294,0.000077,135.9297,0.000174,135.7287
295,0.000078,135.9297,0.000174,135.7294
296,0.000051,135.9297,0.000173,135.7300
297,0.000081,135.9297,0.000173,135.7307
298,0.000090,135.9297,0.000173,135.7314
299,0.000049,135.9297,0.000172,135.7320
300,0.000077,135.9297,0.000172,135.7327
