Frame,CalcTime_s,MemUsage_KB,AvgTime_s,AvgMem_KB
1,0.0000,25656.80,0.0000,25656.80
2,0.0000,25668.20,0.0000,25662.50
3,0.0000,25675.54,0.0000,25666.85
4,0.0000,25682.88,0.0000,25670.86
5,0.0000,25690.23,0.0000,25674.73
6,0.0000,25697.57,0.0000,25678.54
7,0.0000,25704.91,0.0000,25682.30
8,0.0000,25712.26,0.0000,25686.05
9,0.0000,25719.60,0.0000,25689.78
10,0.0000,25727.23,0.0000,25693.52
11,0.0000,25734.57,0.0000,25697.25
12,0.0000,25741.91,0.0000,25700.98
13,0.0000,25749.26,0.0000,25704.69
14,0.0000,25756.60,0.0000,25708.40
15,0.0000,25763.95,0.0000,25712.10
16,0.0000,25771.29,0.0000,25715.80
17,0.0000,25778.63,0.0000,25719.50
18,0.0000,25786.26,0.0000,25723.20
19,0.0000,25793.60,0.0000,25726.91
20,0.0000,25800.95,0.0000,25730.61
21,0.0000,25808.29,0.0000,25734.31
22,0.0000,25815.63,0.0000,25738.01
23,0.0000,25822.98,0.0000,25741.70
24,0.0000,25830.32,0.0000,25745.39
25,0.0000,25837.66,0.0000,25749.08
26,0.0000,25845.29,0.0000,25752.78
27,0.0000,25852.63,0.0000,25756.48
28,0.0000,25859.98,0.0000,25760.18
29,0.0000,25867.32,0.0000,25763.87
30,0.0000,25874.66,0.0000,25767.57
31,0.0000,25882.01,0.0000,25771.26
32,0.0000,25889.35,0.0000,25774.95
33,0.0000,25896.70,0.0000,25778.64
34,0.0000,25904.32,0.0000,25782.33
35,0.0000,25911.66,0.0000,25786.03
36,0.0000,25919.01,0.0000,25789.72
37,0.0000,25926.35,0.0000,25793.42
38,0.0000,25933.70,0.0000,25797.11
39,0.0000,25941.04,0.0000,25800.80
40,0.0000,25948.38,0.0000,25804.49
41,0.0000,25955.73,0.0000,25808.18
42,0.0000,25963.35,0.0000,25811.87
43,0.0000,25970.70,0.0000,25815.56
44,0.0000,25978.04,0.0000,25819.26
45,0.0000,25985.38,0.0000,25822.95
46,0.0000,25992.73,0.0000,25826.64
47,0.0000,26000.07,0.0000,25830.33
48,0.0000,26007.41,0.0000,25834.02
49,0.0000,26014.76,0.0000,25837.71
50,0.0000,26022.38,0.0000,25841.40
51,0.0000,26029.73,0.0000,25845.09
52,0.0000,26037.07,0.0000,25848.79
53,0.0000,26044.41,0.0000,25852.48
54,0.0000,26051.76,0.0000,25856.17
55,0.0000,26059.10,0.0000,25859.86
56,0.0000,26066.45,0.0000,25863.55
57,0.0000,26073.79,0.0000,25867.23
58,0.0000,26081.41,0.0000,25870.93
59,0.0000,26088.76,0.0000,25874.62
60,0.0000,26096.10,0.0000,25878.31
61,0.0000,26103.45,0.0000,25882.00
62,0.0000,26110.79,0.0000,25885.69
