Frame,CalcTime_s,MemUsage_KB,AvgTime_s,AvgMem_KB
1,0.0000,26293.43,0.0000,26293.43
2,0.0001,26310.43,0.0000,26301.93
3,0.0000,26323.38,0.0000,26309.08
4,0.0000,26336.34,0.0000,26315.89
5,0.0001,26349.29,0.0000,26322.57
6,0.0001,26362.24,0.0001,26329.18
7,0.0000,26375.20,0.0000,26335.76
8,0.0001,26388.15,0.0001,26342.31
9,0.0001,26401.10,0.0001,26348.84
10,0.0001,26414.34,0.0001,26355.39
11,0.0002,26427.29,0.0001,26361.93
12,0.0001,26440.24,0.0001,26368.45
13,0.0002,26453.20,0.0001,26374.97
14,0.0000,26466.15,0.0001,26381.48
15,0.0001,26479.10,0.0001,26387.99
16,0.0001,26492.05,0.0001,26394.50
17,0.0001,26505.01,0.0001,26401.00
18,0.0001,26518.24,0.0001,26407.51
19,0.0000,26531.20,0.0001,26414.02
20,0.0000,26544.15,0.0001,26420.53
21,0.0001,26557.10,0.0001,26427.03
22,0.0000,26570.05,0.0001,26433.53
23,0.0001,26583.01,0.0001,26440.03
24,0.0001,26595.96,0.0001,26446.53
25,0.0001,26608.91,0.0001,26453.02
26,0.0001,26622.15,0.0001,26459.53
27,0.0001,26635.10,0.0001,26466.03
28,0.0001,26648.05,0.0001,26472.53
29,0.0001,26661.01,0.0001,26479.03
30,0.0001,26673.96,0.0001,26485.53
31,0.0000,26686.91,0.0001,26492.02
32,0.0001,26699.87,0.0001,26498.52
33,0.0000,26712.82,0.0001,26505.01
34,0.0001,26726.05,0.0001,26511.51
35,0.0001,26739.01,0.0001,26518.01
36,0.0001,26751.96,0.0001,26524.51
37,0.0001,26764.91,0.0001,26531.01
38,0.0000,26777.87,0.0001,26537.51
39,0.0001,26790.82,0.0001,26544.00
40,0.0001,26803.77,0.0001,26550.50
41,0.0001,26816.73,0.0001,26556.99
42,0.0002,26829.96,0.0001,26563.49
43,0.0001,26842.91,0.0001,26569.99
44,0.0001,26855.87,0.0001,26576.48
45,0.0001,26868.82,0.0001,26582.98
46,0.0001,26881.77,0.0001,26589.48
47,0.0001,26894.73,0.0001,26595.97
48,0.0001,26907.68,0.0001,26602.46
49,0.0001,26920.63,0.0001,26608.96
50,0.0001,26933.87,0.0001,26615.46
51,0.0001,26946.82,0.0001,26621.95
52,0.0001,26959.77,0.0001,26628.45
53,0.0001,26972.73,0.0001,26634.95
54,0.0000,26985.68,0.0001,26641.44
55,0.0001,26998.63,0.0001,26647.94
56,0.0000,27011.59,0.0001,26654.43
57,0.0002,27024.54,0.0001,26660.92
58,0.0001,27037.77,0.0001,26667.42
59,0.0002,27050.73,0.0001,26673.92
60,0.0002,27063.68,0.0001,26680.41
61,0.0001,27076.63,0.0001,26686.91
62,0.0001,27089.59,0.0001,26693.40
63,0.0001,27102.54,0.0001,26699.90
64,0.0000,27115.49,0.0001,26706.39
65,0.0000,27128.45,0.0001,26712.88
66,0.0001,27141.68,0.0001,26719.38
67,0.0001,27154.63,0.0001,26725.88
68,0.0001,27167.59,0.0001,26732.37
69,0.0001,27180.54,0.0001,26738.87
70,0.0001,27193.49,0.0001,26745.36
71,0.0001,27206.45,0.0001,26751.86
72,0.0000,27219.40,0.0001,26758.35
73,0.0000,27232.35,0.0001,26764.84
74,0.0000,27245.59,0.0001,26771.34
75,0.0000,27258.54,0.0001,26777.84
76,0.0001,27271.49,0.0001,26784.33
77,0.0000,27284.45,0.0001,26790.83
78,0.0001,27297.40,0.0001,26797.32
79,0.0002,27310.35,0.0001,26803.81
80,0.0000,27323.30,0.0001,26810.31
81,0.0001,27336.26,0.0001,26816.80
82,0.0001,27349.49,0.0001,26823.30
83,0.0001,27362.45,0.0001,26829.79
84,0.0001,27375.40,0.0001,26836.29
85,0.0001,27388.35,0.0001,26842.78
86,0.0001,27401.30,0.0001,26849.28
87,0.0000,27414.26,0.0001,26855.77
88,0.0000,27427.21,0.0001,26862.27
89,0.0001,27440.16,0.0001,26868.76
90,0.0000,27453.40,0.0001,26875.26
91,0.0001,27466.35,0.0001,26881.75
92,0.0001,27479.30,0.0001,26888.25
93,0.0002,27492.26,0.0001,26894.74
94,0.0001,27505.21,0.0001,26901.23
95,0.0001,27518.16,0.0001,26907.73
96,0.0000,27531.12,0.0001,26914.22
97,0.0001,27544.07,0.0001,26920.72
98,0.0000,27557.30,0.0001,26927.21
99,0.0001,27570.26,0.0001,26933.71
100,0.0001,27583.21,0.0001,26940.20
101,0.0001,27596.18,0.0001,26946.70
102,0.0001,27609.15,0.0001,26953.19
103,0.0001,27622.12,0.0001,26959.69
104,0.0000,27635.09,0.0001,26966.18
105,0.0001,27648.05,0.0001,26972.67
106,0.0001,27661.30,0.0001,26979.17
107,0.0001,27674.27,0.0001,26985.67
108,0.0001,27687.24,0.0001,26992.16
109,0.0001,27700.21,0.0001,26998.66
110,0.0001,27713.18,0.0001,27005.15
111,0.0000,27726.15,0.0001,27011.65
112,0.0001,27739.12,0.0001,27018.15
113,0.0001,27752.09,0.0001,27024.64
114,0.0000,27765.34,0.0001,27031.14
115,0.0000,27778.30,0.0001,27037.63
116,0.0000,27791.27,0.0001,27044.13
117,0.0000,27804.24,0.0001,27050.63
118,0.0001,27817.21,0.0001,27057.12
119,0.0000,27830.18,0.0001,27063.62
120,0.0000,27843.15,0.0001,27070.12
121,0.0000,27856.12,0.0001,27076.61
122,0.0000,27869.37,0.0001,27083.11
123,0.0000,27882.34,0.0001,27089.61
124,0.0000,27895.30,0.0001,27096.11
125,0.0000,27908.27,0.0001,27102.60
126,0.0001,27921.24,0.0001,27109.10
127,0.0001,27934.21,0.0001,27115.60
128,0.0000,27947.18,0.0001,27122.09
129,0.0001,27960.15,0.0001,27128.59
130,0.0000,27973.40,0.0001,27135.09
131,0.0001,27986.37,0.0001,27141.59
132,0.0000,27999.34,0.0001,27148.09
133,0.0001,28012.30,0.0001,27154.58
134,0.0001,28025.27,0.0001,27161.08
135,0.0001,28038.24,0.0001,27167.58
136,0.0000,28051.21,0.0001,27174.08
137,0.0000,28064.18,0.0001,27180.57
138,0.0001,28077.43,0.0001,27187.07
139,0.0001,28090.40,0.0001,27193.57
140,0.0001,28103.37,0.0001,27200.07
141,0.0001,28116.34,0.0001,27206.57
142,0.0000,28129.30,0.0001,27213.07
143,0.0002,28142.27,0.0001,27219.56
144,0.0001,28155.24,0.0001,27226.06
145,0.0001,28168.21,0.0001,27232.56
146,0.0001,28181.46,0.0001,27239.06
147,0.0001,28194.43,0.0001,27245.56
148,0.0001,28207.40,0.0001,27252.06
149,0.0001,28220.37,0.0001,27258.56
150,0.0001,28233.34,0.0001,27265.05
151,0.0002,28246.30,0.0001,27271.55
152,0.0001,28259.27,0.0001,27278.05
153,0.0001,28272.24,0.0001,27284.55
154,0.0001,28285.49,0.0001,27291.05
155,0.0001,28298.46,0.0001,27297.55
156,0.0001,28311.43,0.0001,27304.05
157,0.0001,28324.40,0.0001,27310.55
158,0.0001,28337.37,0.0001,27317.04
159,0.0000,28350.34,0.0001,27323.54
160,0.0000,28363.30,0.0001,27330.04
161,0.0001,28376.27,0.0001,27336.54
162,0.0000,28389.52,0.0001,27343.04
163,0.0001,28402.49,0.0001,27349.54
164,0.0001,28415.46,0.0001,27356.04
165,0.0001,28428.43,0.0001,27362.54
166,0.0001,28441.40,0.0001,27369.04
167,0.0001,28454.37,0.0001,27375.54
168,0.0000,28467.34,0.0001,27382.04
169,0.0001,28480.30,0.0001,27388.53
170,0.0001,28493.55,0.0001,27395.03
171,0.0001,28506.52,0.0001,27401.53
172,0.0000,28519.49,0.0001,27408.03
173,0.0000,28532.46,0.0001,27414.53
174,0.0002,28545.43,0.0001,27421.03
175,0.0000,28558.40,0.0001,27427.53
176,0.0000,28571.37,0.0001,27434.03
177,0.0000,28584.34,0.0001,27440.53
178,0.0000,28597.59,0.0001,27447.03
179,0.0000,28610.55,0.0001,27453.53
180,0.0000,28623.52,0.0001,27460.03
181,0.0001,28636.49,0.0001,27466.53
182,0.0001,28649.46,0.0001,27473.03
183,0.0000,28662.43,0.0001,27479.53
184,0.0001,28675.40,0.0001,27486.03
185,0.0000,28688.37,0.0001,27492.53
186,0.0001,28701.62,0.0001,27499.03
187,0.0001,28714.59,0.0001,27505.53
188,0.0000,28727.55,0.0001,27512.03
189,0.0002,28740.52,0.0001,27518.53
190,0.0001,28753.49,0.0001,27525.03
191,0.0001,28766.46,0.0001,27531.53
192,0.0001,28779.43,0.0001,27538.03
193,0.0001,28792.40,0.0001,27544.53
194,0.0001,28805.65,0.0001,27551.03
195,0.0000,28818.62,0.0001,27557.53
196,0.0000,28831.59,0.0001,27564.03
197,0.0001,28844.55,0.0001,27570.53
198,0.0001,28857.52,0.0001,27577.03
199,0.0002,28870.49,0.0001,27583.53
200,0.0000,28883.46,0.0001,27590.03
201,0.0001,28896.43,0.0001,27596.53
202,0.0001,28909.68,0.0001,27603.03
203,0.0000,28922.65,0.0001,27609.53
204,0.0001,28935.62,0.0001,27616.03
205,0.0001,28948.59,0.0001,27622.53
206,0.0001,28961.55,0.0001,27629.03
207,0.0000,28974.52,0.0001,27635.53
208,0.0001,28987.49,0.0001,27642.03
209,0.0000,29000.46,0.0001,27648.53
210,0.0002,29013.71,0.0001,27655.03
211,0.0001,29026.68,0.0001,27661.53
212,0.0000,29039.65,0.0001,27668.03
213,0.0001,29052.62,0.0001,27674.53
214,0.0001,29065.59,0.0001,27681.03
215,0.0000,29078.55,0.0001,27687.53
216,0.0001,29091.52,0.0001,27694.03
217,0.0001,29104.49,0.0001,27700.53
218,0.0000,29117.74,0.0001,27707.03
219,0.0001,29130.71,0.0001,27713.53
220,0.0000,29143.68,0.0001,27720.03
221,0.0000,29156.65,0.0001,27726.53
222,0.0001,29169.62,0.0001,27733.04
223,0.0001,29182.59,0.0001,27739.54
224,0.0000,29195.55,0.0001,27746.04
225,0.0001,29208.52,0.0001,27752.54
226,0.0000,29221.77,0.0001,27759.04
227,0.0001,29234.74,0.0001,27765.54
228,0.0000,29247.71,0.0001,27772.04
229,0.0001,29260.68,0.0001,27778.54
230,0.0001,29273.65,0.0001,27785.04
231,0.0000,29286.62,0.0001,27791.54
232,0.0001,29299.59,0.0001,27798.04
233,0.0001,29312.55,0.0001,27804.54
234,0.0001,29325.80,0.0001,27811.04
235,0.0001,29338.77,0.0001,27817.54
236,0.0000,29351.74,0.0001,27824.04
237,0.0001,29364.71,0.0001,27830.54
238,0.0002,29377.68,0.0001,27837.04
239,0.0001,29390.65,0.0001,27843.54
240,0.0001,29403.62,0.0001,27850.04
241,0.0000,29416.59,0.0001,27856.55
242,0.0001,29429.84,0.0001,27863.05
243,0.0001,29442.80,0.0001,27869.55
244,0.0001,29455.77,0.0001,27876.05
245,0.0001,29468.74,0.0001,27882.55
246,0.0000,29481.71,0.0001,27889.05
247,0.0001,29494.68,0.0001,27895.55
248,0.0000,29507.65,0.0001,27902.05
249,0.0001,29520.62,0.0001,27908.55
250,0.0001,29533.87,0.0001,27915.05
