Frame,CalcTime_s,MemUsage_KB,AvgTime_s,AvgMem_KB
1,0.000255,50.19,0.000255,50.19
2,0.000262,59.20,0.000258,54.70
3,0.000255,67.79,0.000257,59.06
4,0.000256,50.74,0.000257,56.98
5,0.000260,59.33,0.000258,57.45
6,0.000261,67.92,0.000258,59.20
7,0.000254,50.74,0.000258,57.99
8,0.000254,59.33,0.000257,58.16
9,0.000256,67.92,0.000257,59.24
10,0.000251,50.63,0.000256,58.38
11,0.000251,59.22,0.000256,58.46
12,0.000258,67.81,0.000256,59.24
13,0.000259,50.70,0.000256,58.58
14,0.000257,59.29,0.000256,58.63
15,0.000259,67.88,0.000257,59.25
16,0.000259,50.66,0.000257,58.71
17,0.000261,59.25,0.000257,58.74
18,0.000253,67.84,0.000257,59.25
19,0.000254,50.70,0.000257,58.80
20,0.000256,59.29,0.000257,58.82
21,0.000260,67.88,0.000257,59.25
22,0.000251,50.66,0.000256,58.86
23,0.000248,59.25,0.000256,58.88
24,0.000251,67.84,0.000256,59.25
25,0.000249,50.63,0.000256,58.91
26,0.000251,59.22,0.000255,58.92
27,0.000260,67.81,0.000256,59.25
28,0.000250,50.74,0.000255,58.95
29,0.000259,59.33,0.000256,58.96
30,0.000259,67.92,0.000256,59.26
31,0.000258,50.63,0.000256,58.98
32,0.000259,59.22,0.000256,58.99
33,0.000261,67.81,0.000256,59.25
34,0.000257,50.74,0.000256,59.00
35,0.000260,59.33,0.000256,59.01
36,0.000260,67.92,0.000256,59.26
37,0.000253,50.63,0.000256,59.03
38,0.000258,59.22,0.000256,59.03
39,0.000257,67.81,0.000256,59.26
40,0.000258,50.74,0.000256,59.04
41,0.000260,59.33,0.000256,59.05
42,0.000259,67.92,0.000256,59.26
43,0.000262,50.63,0.000257,59.06
44,0.000264,59.22,0.000257,59.07
45,0.000261,67.81,0.000257,59.26
46,0.000271,50.74,0.000257,59.08
47,0.000270,59.33,0.000257,59.08
48,0.000262,67.92,0.000257,59.26
49,0.000266,50.63,0.000258,59.09
50,0.000262,59.22,0.000258,59.09
51,0.000252,67.81,0.000258,59.26
52,0.000258,50.74,0.000258,59.10
53,0.000255,59.33,0.000258,59.10
54,0.000256,67.92,0.000258,59.27
55,0.000255,50.66,0.000258,59.11
56,0.000262,59.25,0.000258,59.11
57,0.000254,67.84,0.000258,59.27
58,0.000256,50.63,0.000257,59.12
59,0.000259,59.22,0.000258,59.12
60,0.000250,67.81,0.000257,59.26
61,0.000260,50.74,0.000257,59.12
62,0.000259,59.33,0.000257,59.13
63,0.000261,67.92,0.000258,59.27
64,0.000253,50.70,0.000257,59.13
65,0.000254,59.29,0.000257,59.13
66,0.000257,67.88,0.000257,59.27
67,0.000249,50.63,0.000257,59.14
68,0.000260,59.22,0.000257,59.14
69,0.000255,67.81,0.000257,59.27
70,0.000255,50.63,0.000257,59.14
71,0.000256,59.22,0.000257,59.14
72,0.000264,67.81,0.000257,59.26
73,0.000250,50.63,0.000257,59.14
74,0.000258,59.22,0.000257,59.15
75,0.000262,67.81,0.000257,59.26
76,0.000256,50.63,0.000257,59.15
77,0.000261,59.22,0.000257,59.15
78,0.000269,67.81,0.000257,59.26
79,0.000264,50.63,0.000258,59.15
80,0.000253,59.22,0.000258,59.15
81,0.000250,67.81,0.000257,59.26
82,0.000247,50.74,0.000257,59.15
83,0.000264,59.33,0.000257,59.16
84,0.000249,67.92,0.000257,59.26
85,0.000266,50.63,0.000257,59.16
86,0.000298,59.22,0.000258,59.16
87,0.000257,67.81,0.000258,59.26
88,0.000257,50.71,0.000258,59.16
89,0.000266,59.30,0.000258,59.16
90,0.000253,67.89,0.000258,59.26
91,0.000272,50.67,0.000258,59.17
92,0.000260,59.26,0.000258,59.17
93,0.000265,67.85,0.000258,59.26
94,0.000249,50.75,0.000258,59.17
95,0.000259,59.34,0.000258,59.17
96,0.000261,67.93,0.000258,59.26
97,0.000249,50.63,0.000258,59.17
98,0.000256,59.22,0.000258,59.17
99,0.000260,67.81,0.000258,59.26
100,0.000283,50.71,0.000258,59.18
101,0.000265,59.29,0.000258,59.18
102,0.000259,67.88,0.000258,59.26
103,0.000268,50.66,0.000258,59.18
104,0.000258,59.25,0.000258,59.18
105,0.000253,67.84,0.000258,59.26
106,0.000257,50.70,0.000258,59.18
107,0.000262,59.29,0.000258,59.18
108,0.000253,67.88,0.000258,59.26
109,0.000255,50.66,0.000258,59.18
110,0.000263,59.25,0.000258,59.19
111,0.000255,67.84,0.000258,59.26
112,0.000249,50.70,0.000258,59.19
113,0.000262,59.29,0.000258,59.19
114,0.000256,67.88,0.000258,59.26
115,0.000263,50.66,0.000258,59.19
116,0.000254,59.25,0.000258,59.19
117,0.000253,67.84,0.000258,59.26
118,0.000257,50.63,0.000258,59.19
119,0.000251,59.22,0.000258,59.19
120,0.000260,67.81,0.000258,59.26
121,0.000257,50.70,0.000258,59.19
122,0.000259,59.29,0.000258,59.19
123,0.000260,67.88,0.000258,59.26
124,0.000255,50.74,0.000258,59.19
125,0.000262,59.33,0.000258,59.20
126,0.000264,67.92,0.000258,59.26
127,0.000261,50.63,0.000258,59.20
128,0.000263,59.22,0.000258,59.20
129,0.000256,67.81,0.000258,59.26
130,0.000255,50.74,0.000258,59.20
131,0.000263,59.33,0.000258,59.20
132,0.000256,67.92,0.000258,59.27
133,0.000258,50.63,0.000258,59.20
134,0.000259,59.22,0.000258,59.20
135,0.000257,67.81,0.000258,59.26
136,0.000257,50.74,0.000258,59.20
137,0.000251,59.33,0.000258,59.20
138,0.000258,67.92,0.000258,59.27
139,0.000258,50.63,0.000258,59.20
140,0.000262,59.22,0.000258,59.20
141,0.000257,67.81,0.000258,59.26
142,0.000257,50.74,0.000258,59.20
143,0.000262,59.33,0.000258,59.21
144,0.000265,67.92,0.000258,59.27
145,0.000256,50.63,0.000258,59.21
146,0.000252,59.22,0.000258,59.21
147,0.000260,67.81,0.000258,59.27
148,0.000254,50.74,0.000258,59.21
149,0.000263,59.33,0.000258,59.21
150,0.000257,67.92,0.000258,59.27
151,0.000257,50.66,0.000258,59.21
152,0.000262,59.25,0.000258,59.21
153,0.000254,67.84,0.000258,59.27
154,0.000255,50.63,0.000258,59.21
155,0.000254,59.22,0.000258,59.21
156,0.000263,67.81,0.000258,59.27
157,0.000257,50.74,0.000258,59.21
158,0.000276,59.33,0.000258,59.21
159,0.000252,67.92,0.000258,59.27
160,0.000253,50.70,0.000258,59.21
161,0.000265,59.29,0.000258,59.21
162,0.000258,67.88,0.000258,59.27
163,0.000261,50.63,0.000258,59.21
164,0.000258,59.22,0.000258,59.21
165,0.000252,67.81,0.000258,59.27
166,0.000259,50.63,0.000258,59.21
167,0.000254,59.22,0.000258,59.21
168,0.000258,67.81,0.000258,59.27
169,0.000256,50.63,0.000258,59.21
170,0.000253,59.22,0.000258,59.21
171,0.000259,67.81,0.000258,59.26
172,0.000249,50.63,0.000258,59.21
173,0.000259,59.22,0.000258,59.21
174,0.000260,67.81,0.000258,59.26
175,0.000259,50.63,0.000258,59.21
176,0.000253,59.22,0.000258,59.21
177,0.000259,67.81,0.000258,59.26
178,0.000258,50.74,0.000258,59.22
179,0.000258,59.33,0.000258,59.22
180,0.000270,67.92,0.000258,59.26
181,0.000256,50.63,0.000258,59.22
182,0.000254,59.22,0.000258,59.22
183,0.000257,67.81,0.000258,59.26
184,0.000262,50.71,0.000258,59.22
185,0.000259,59.30,0.000258,59.22
186,0.000253,67.89,0.000258,59.26
187,0.000257,50.67,0.000258,59.22
188,0.000262,59.26,0.000258,59.22
189,0.000250,67.85,0.000258,59.26
190,0.000252,50.75,0.000258,59.22
191,0.000261,59.34,0.000258,59.22
192,0.000261,67.93,0.000258,59.27
193,0.000256,50.63,0.000258,59.22
194,0.000259,59.22,0.000258,59.22
195,0.000248,67.81,0.000258,59.26
196,0.000249,50.71,0.000258,59.22
197,0.000253,59.29,0.000258,59.22
198,0.000257,67.88,0.000258,59.26
199,0.000260,50.66,0.000258,59.22
200,0.000256,59.25,0.000258,59.22
201,0.000259,67.84,0.000258,59.26
202,0.000256,50.70,0.000258,59.22
203,0.000256,59.29,0.000258,59.22
204,0.000262,67.88,0.000258,59.27
205,0.000256,50.66,0.000258,59.22
206,0.000259,59.25,0.000258,59.22
207,0.000253,67.84,0.000258,59.26
208,0.000250,50.70,0.000258,59.22
209,0.000261,59.29,0.000258,59.22
210,0.000257,67.88,0.000258,59.27
211,0.000261,50.66,0.000258,59.22
212,0.000252,59.25,0.000258,59.22
213,0.000252,67.84,0.000258,59.27
214,0.000258,50.63,0.000258,59.22
215,0.000250,59.22,0.000258,59.22
216,0.000257,67.81,0.000258,59.26
217,0.000251,50.70,0.000258,59.22
218,0.000250,59.29,0.000258,59.23
219,0.000261,67.88,0.000258,59.26
220,0.000258,50.74,0.000258,59.23
221,0.000252,59.33,0.000258,59.23
222,0.000258,67.92,0.000258,59.27
223,0.000248,50.63,0.000258,59.23
224,0.000248,59.22,0.000258,59.23
225,0.000259,67.81,0.000258,59.27
226,0.000250,50.74,0.000258,59.23
227,0.000253,59.33,0.000258,59.23
228,0.000251,67.92,0.000258,59.27
229,0.000256,50.63,0.000258,59.23
230,0.000259,59.22,0.000258,59.23
231,0.000260,67.81,0.000258,59.27
232,0.000249,50.74,0.000258,59.23
233,0.000262,59.33,0.000258,59.23
234,0.000260,67.92,0.000258,59.27
235,0.000256,50.63,0.000258,59.23
236,0.000260,59.22,0.000258,59.23
237,0.000259,67.81,0.000258,59.27
238,0.000257,50.74,0.000258,59.23
239,0.000254,59.33,0.000258,59.23
240,0.000258,67.92,0.000258,59.27
241,0.000260,50.63,0.000258,59.23
242,0.000261,59.22,0.000258,59.23
243,0.000255,67.81,0.000258,59.27
244,0.000254,50.74,0.000258,59.23
245,0.000263,59.33,0.000258,59.23
246,0.000257,67.92,0.000258,59.27
247,0.000259,50.66,0.000258,59.23
248,0.000257,59.25,0.000258,59.23
