Frame,CalcTime_s,MemUsage_KB,AvgTime_s,AvgMem_KB
1,0.000239,49.93,0.000239,49.93
2,0.000381,58.99,0.000310,54.46
3,0.000228,67.58,0.000283,58.83
4,0.000238,50.36,0.000271,56.71
5,0.000227,58.95,0.000263,57.16
6,0.000227,67.54,0.000257,58.89
7,0.000231,50.36,0.000253,57.67
8,0.000235,58.95,0.000251,57.83
9,0.000220,67.54,0.000247,58.91
10,0.000215,50.36,0.000244,58.06
11,0.000231,58.95,0.000243,58.14
12,0.000267,67.54,0.000245,58.92
13,0.000233,50.36,0.000244,58.26
14,0.000233,58.95,0.000243,58.31
15,0.000234,67.54,0.000243,58.93
16,0.000236,50.36,0.000242,58.39
17,0.000231,58.95,0.000242,58.42
18,0.000220,67.54,0.000240,58.93
19,0.000236,50.36,0.000240,58.48
20,0.000244,58.95,0.000240,58.50
21,0.000229,67.54,0.000240,58.93
22,0.000240,50.36,0.000240,58.54
23,0.000234,58.95,0.000240,58.56
24,0.000232,67.54,0.000239,58.94
25,0.000233,50.36,0.000239,58.59
26,0.000220,58.95,0.000238,58.61
27,0.000223,67.54,0.000238,58.94
28,0.000218,50.36,0.000237,58.63
29,0.000241,58.95,0.000237,58.64
30,0.000232,67.54,0.000237,58.94
31,0.000231,50.36,0.000237,58.66
32,0.000270,58.95,0.000238,58.67
33,0.000393,67.54,0.000242,58.94
34,0.000232,50.36,0.000242,58.69
35,0.000235,58.95,0.000242,58.70
36,0.000285,67.54,0.000243,58.94
37,0.000219,50.36,0.000243,58.71
38,0.000233,58.95,0.000242,58.72
39,0.000228,67.54,0.000242,58.94
40,0.000238,50.36,0.000242,58.73
41,0.000235,58.95,0.000242,58.73
42,0.000233,67.54,0.000241,58.94
43,0.000217,50.36,0.000241,58.74
44,0.000235,58.95,0.000241,58.75
45,0.000415,67.54,0.000245,58.94
46,0.000245,50.36,0.000245,58.76
47,0.000237,58.95,0.000244,58.76
48,0.000236,67.54,0.000244,58.94
49,0.000233,50.36,0.000244,58.77
50,0.000242,58.95,0.000244,58.77
51,0.000229,67.54,0.000244,58.94
52,0.000235,50.36,0.000244,58.78
53,0.000223,58.95,0.000243,58.78
54,0.000419,67.54,0.000246,58.95
55,0.000234,50.36,0.000246,58.79
56,0.000231,58.95,0.000246,58.79
57,0.000255,67.54,0.000246,58.95
58,0.000229,50.36,0.000246,58.80
59,0.000248,58.95,0.000246,58.80
60,0.000214,67.54,0.000245,58.95
61,0.000218,50.36,0.000245,58.81
62,0.000235,58.95,0.000245,58.81
63,0.000219,67.54,0.000244,58.95
64,0.000301,50.36,0.000245,58.81
65,0.000243,58.95,0.000245,58.81
66,0.000229,67.54,0.000245,58.95
67,0.000398,50.36,0.000247,58.82
68,0.000233,58.95,0.000247,58.82
69,0.000241,67.54,0.000247,58.95
70,0.000220,50.36,0.000246,58.82
71,0.000232,58.95,0.000246,58.83
72,0.000233,67.54,0.000246,58.95
73,0.000416,50.36,0.000248,58.83
74,0.000238,58.95,0.000248,58.83
75,0.000232,67.54,0.000248,58.95
76,0.000231,50.36,0.000248,58.83
77,0.000235,58.95,0.000248,58.84
78,0.000229,67.54,0.000247,58.95
79,0.000215,50.36,0.000247,58.84
80,0.000219,58.95,0.000247,58.84
81,0.000238,67.54,0.000247,58.95
82,0.000234,50.36,0.000246,58.84
83,0.000245,58.95,0.000246,58.84
84,0.000236,67.54,0.000246,58.95
