Frame,CalcTime_s,MemUsage_KB,AvgTime_s,AvgMem_KB
1,0.000218, 51.2930,0.000218, 51.2930
2,0.000230, 59.8359,0.000224, 55.5645
3,0.000216, 68.4258,0.000221, 59.8516
4,0.000241, 51.4277,0.000226, 57.7456
5,0.000364, 60.0176,0.000254, 58.2000
6,0.000241, 68.6074,0.000252, 59.9346
7,0.000226, 51.3516,0.000248, 58.7084
8,0.000228, 59.9414,0.000245, 58.8625
9,0.000213, 68.5312,0.000242, 59.9368
10,0.000228, 51.3516,0.000240, 59.0783
11,0.000216, 59.9414,0.000238, 59.1568
12,0.000229, 68.5312,0.000237, 59.9380
13,0.000219, 51.3516,0.000236, 59.2775
14,0.000234, 59.9414,0.000236, 59.3249
15,0.000230, 68.5312,0.000236, 59.9387
16,0.000215, 51.3516,0.000234, 59.4020
17,0.000216, 59.9414,0.000233, 59.4337
18,0.000233, 68.5312,0.000233, 59.9391
19,0.000214, 51.3516,0.000232, 59.4872
20,0.000233, 59.9414,0.000232, 59.5099
21,0.000216, 68.5312,0.000231, 59.9395
22,0.000218, 51.3516,0.000231, 59.5491
23,0.000221, 59.9414,0.000230, 59.5662
24,0.000366, 68.5312,0.000236, 59.9397
25,0.000231, 51.3516,0.000236, 59.5962
26,0.000218, 59.9414,0.000235, 59.6095
27,0.000213, 68.5312,0.000234, 59.9399
28,0.000243, 51.3516,0.000235, 59.6332
29,0.000233, 59.9414,0.000235, 59.6438
30,0.000227, 68.5312,0.000234, 59.9400
31,0.000238, 51.3516,0.000234, 59.6630
32,0.000228, 59.9414,0.000234, 59.6717
33,0.000227, 68.5312,0.000234, 59.9402
34,0.000223, 51.3516,0.000234, 59.6876
35,0.000216, 59.9414,0.000233, 59.6948
36,0.000286, 68.5312,0.000235, 59.9403
37,0.000225, 51.3516,0.000234, 59.7081
38,0.000228, 59.9414,0.000234, 59.7143
39,0.000235, 68.5312,0.000234, 59.9404
40,0.000232, 51.3516,0.000234, 59.7256
41,0.000235, 59.9414,0.000234, 59.7309
42,0.000220, 68.5312,0.000234, 59.9404
43,0.000233, 51.3516,0.000234, 59.7407
44,0.000219, 59.9414,0.000234, 59.7453
45,0.000215, 68.5312,0.000233, 59.9405
46,0.000216, 51.3516,0.000233, 59.7538
47,0.000233, 59.9414,0.000233, 59.7578
48,0.000230, 68.5312,0.000233, 59.9406
49,0.000232, 51.3516,0.000233, 59.7653
50,0.000233, 59.9414,0.000233, 59.7688
51,0.000219, 68.5312,0.000232, 59.9406
52,0.000220, 51.3516,0.000232, 59.7754
53,0.000243, 59.9414,0.000232, 59.7786
54,0.000215, 68.5312,0.000232, 59.9406
55,0.000303, 51.3516,0.000233, 59.7845
56,0.000230, 59.9414,0.000233, 59.7873
57,0.000214, 68.5312,0.000233, 59.9407
58,0.000230, 51.3516,0.000233, 59.7926
59,0.000220, 59.9414,0.000233, 59.7951
60,0.000268, 68.5312,0.000233, 59.9407
61,0.000228, 51.3516,0.000233, 59.7999
62,0.000226, 59.9414,0.000233, 59.8022
63,0.000214, 68.5312,0.000233, 59.9408
64,0.000234, 51.3516,0.000233, 59.8065
65,0.000215, 59.9414,0.000233, 59.8086
66,0.000229, 68.5312,0.000232, 59.9408
67,0.000257, 51.3516,0.000233, 59.8126
68,0.000218, 59.9414,0.000233, 59.8145
69,0.000229, 68.5312,0.000233, 59.9408
